"1","omgaan met een slijptol of schuurmachine","1","R","mit einer Flex oder Schleifmaschine arbeiten",,"using a grinder or sander","jdjdjd"
"2","met behulp van formules wiskundige sommen oplossen","1","I","mit Formeln mathematische Aufgaben lÃ¶sen",,"using formulas to solve mathematical equations",
"5","een poster of flyer ontwerpen","1","A","ein Poster oder einen Flyer entwerfen",,"designing a poster or a flyer",
"6","een kind leren fietsen","1","S","einem Kind Radfahren beibringen",,"learning a child how to cycle",
"7","andere mensen overtuigen","1","O","andere Menschen Ã¼berzeugen",,"convincing other people",
"8","zakelijke documenten opstellen","1","C","geschÃ¤ftliche Dokumente aufsetzen",,"drafting corporate/legal documents","hhjh"
"9","een vloer leggen","1","R","Parkett verlegen",,"floor laying",
"10","de functie van kraakbeen omschrijven","1","I","die Funktion von Knorpel beschreiben",,"describe the function of cartilage",
"11","meezingen in een koor","1","A","in einem Chor singen",,"sing in a choir",
"12","leden werven voor een goed doel","1","S","Mitglieder fÃ¼r eine gemeinnÃ¼tzige Organisation werben",,"recruit members for a non-profit organization ",
"13","voorzitter zijn bij een vergadering","1","O","den Vorsitz bei einer SItzung fÃ¼hren",,"being the chairman during a meeting",
"14","vaardig zijn met spreadsheetberekeningen in Excel","1","C","fÃ¤hig sein in Tabellenkalkulationen in Excel ",,"being proficient with spreadsheet calculations in Excel",
"15","tuinverlichting installeren en aansluiten","1","R","Gartenbeleuchtung anlegen und installieren",,"installing and connecting garden lighting ",
"16","uitleggen hoe de ozonlaag werkt","1","I","erklÃ¤ren wie die Ozonschicht funktioniert",,"explaining how the ozone layer works",
"17","boetseren of beeldhouwen","1","A","Modellieren oder Bildhauen",,"modeling or sculpting",
"18","een ziek iemand verzorgen","1","S","eine kranke Person versorgen",,"taking care of a sick person",
"19","het werk van anderen controleren","1","O","die Arbeit von anderen kontrollieren",,"checking/verifying the work of others",
"20","prijsvergelijkingen maken om te onderzoeken wat het voordeligst is","1","C","Preisvergleiche erstellen um herauszufinden welche Option am gÃ¼nstigsten ist",,"making price comparisons to find the best deal",
"21","een auto starten met behulp van startkabels","1","R","ein Auto mit Starthilfekabeln anlassen",,"starting a car using jumper cables",
"22","Een wetenschappelijke tekst of rapportage schrijven","1","I","einen wissenschaftlichen Text oder Report schreiben",,"writing a scientific paper or report",
"23","een cartoon tekenen","1","A","einen Cartoon zeichnen",,"drawing a cartoon",
"24","iets duidelijk uitleggen aan een ander","1","S","einem anderen etwas deutlich erklÃ¤ren",,"explaining or clarifying something to someone",
"25","een team succesvol leiden","1","O","erfolgreich ein Team leiten",,"successfully leading a team",
"26","archiveren van correspondentie en belangrijke documenten","1","C","Korrespondenz und wichtige Dokumente archivieren",,"archiving correspondence and important documents",
"27","het motorblok van een scooter er uithalen en er weer in zetten","1","R","den Motorblock eines Motorrollers herausnehmen und wieder einsetzen",,"taking out the engine of a car and putting it back in",
"28","in grote lijnen uitleggen hoe een atoom is opgebouwd","1","I","grob erklÃ¤ren wie ein Atom aufgebaut ist",,"broadly explaining how an atom is constructed",
"29","een gedicht schrijven","1","A","ein Gedicht schreiben",,"writing a poem",
"30","met veel verschillende type mensen omgaan","1","S","mit vielen verschiedenen Typen Menschen umgehen",,"dealing and associating with many different types of people",
"31","als projectleider optreden","1","O","als Projektleiter tÃ¤tig sein",,"work as a project manager",
"32","op tijd op afspraken komen","1","C","pÃ¼nktlich zu Terminen erscheinen",,"coming to appointments on time",
"33","de verwarming bijvullen en ontluchten","1","R","die Heizung auffÃ¼llen und entlÃ¼ften",,"refilling and venting the heating ",
"34","een statische berekening uitvoeren op de computer","1","I",,,"performing a structural analysis on the computer",NULL
"35","een stilleven schilderen","1","A","ein Stillleben malen",,"painting a still life ",
"36","goed luisteren naar iemand","1","S","jemandem gut zuhÃ¶ren",,"listen carefully to someone",
"37","een werkplanning maken voor een team","1","O","eine Wochenplanung fÃ¼r ein Team machen",,"creating a work plan for a team",
"38","beloftes nakomen","1","C","Versprechen halten",,"honoring promises",
"39","een kapot keukenkastje repareren","1","R","einen kaputten KÃ¼chenschrank reparieren",,"fixing a broken kitchen cabinet",
"40","een wetenschappelijk onderzoek uitvoeren","1","I","eine wissenschaftliche Untersuchung ausfÃ¼hren",,"performing scientific research",
"41","een instrument bespelen","1","A","ein Instrument spielen",,"playing an instrument",
"42","iemand anders gerust stellen","1","S","jemanden beruhigen",,"make someone feel at ease",
"44","taken en verantwoordelijkheden delegeren aan anderen","1","O","Aufgaben und Verantwortlichkeiten delegieren",,"delegating tasks and responsibilities to others",
"45","financiÃ«le boekhouding bijhouden","1","C","finanzielle Buchhaltung",,"bookkeeping (recording financial transactions)",
"46","uitleggen hoe cilinders in een motor werken","1","R","erklÃ¤ren wie Zylinder in einem Motor funktionieren",,"explaining how a cylinder works in an engine",
"47","een simpele molecuulformule interpreteren/begrijpen","1","I","eine einfache Molekularformel verstehen/erklÃ¤ren",,"interpreting/understanding a simple chemical formula",
"48","toneel spelen","1","A","Theater spielen",,"acting",
"49","bemiddelen bij een ruzie","1","S","einen Streit schlichten",,"mediate in a quarrel",
"50","voor een grote groep mensen spreken","1","O","vor einer groÃŸen Gruppe sprechen",,"speaking in front of an audience (public speaking)",
"51","snel gegevens verwerken op de computer","1","C","zÃ¼gig Daten auf einem Computer verarbeiten",,"quickly processing data on a computer",
"52","een wasmachine en droger aansluiten","1","R","eine Waschmaschine / einen Trockner anschlieÃŸen",,"connecting/installing a washer or dryer",
"53","uitleggen hoe satellieten in een baan om te aarde bewegen","1","I","erklÃ¤ren wie Satelliten um die Erde umkreisen",,"explaining how satellites orbit around the earth",
"54","een huis decoreren of versieren","1","A","eine Wohnung dekorieren",,"decorating a home",
"55","de gemoedstoestand van anderen aanvoelen","1","S","die GefÃ¼hlslage anderer Menschen fÃ¼hlen",,"feeling the state of mind of other people",
"56","knopen doorhakken","1","O","Entscheidungen treffen",,"making decisions ",
"57","belastingformulier invullen","1","C","eine SteuererklÃ¤rung machen",,"filling in a tax form",
"58","een wand of deur in de grondverf zetten","1","R","eine Wand oder eine TÃ¼r grundieren",,"Apply primer to an interior wall",
"59","de werking van zwaartekracht uitleggen","1","I","die Erdanziehungskraft erklÃ¤ren",,"explaining how gravity works",
"60","een klassiek stuk spelen op de piano","1","A","ein klassisches StÃ¼ck auf dem Klavier spielen",,"playing a classical piece on the piano",
"61","iemand kalmeren die van streek is","1","S","jemanden beruhigen der sich aufregt",,"soothe someone who is upset",
"62","anderen motiveren om iets te doen","1","O","andere motivieren etwas zu tun",,"motivating others to do something",
"63","rekenen met percentages","1","C","mit ProzentsÃ¤tzen rechnen",,"calculating percentages",
"64","buiten werken","3","R","draussen arbeiten",,"working outside",
"65","observeren","3","I","beobachten",,"observing",
"66","creativiteit","3","A","KreativitÃ¤t",,"creativity",
"67","gelijkwaardigheid","3","S","Gleichwertigkeit",,"equality",
"68","leidinggeven","3","O","Leitung",,"leadership",
"69","zekerheid","3","C","Sicherheit",,"certainty",
"70","avontuurlijk werk","3","R","abenteuerliche Arbeit",,"adventurous work",
"71","expertise","3","I","Expertise",,"expertise",
"72","vormgeving","3","A","Gestaltung",,"designing",
"73","belangenbehartiging","3","S","Interessenvertretung",,"representation of interests",
"74","rijk worden","3","O","reich werden",,"getting rich",
"75","stabiliteit","3","C","StabilitÃ¤t",,"stability",
"76","praktische werkzaamheden","3","R","praktische Arbeit",,"practical work",
"77","onderzoekende werkzaamheden","3","I","untersuchende TÃ¤tigkeiten",,"investigative work",
"78","fantasie","3","A","Fantasie",,"fantasy",
"79","teamwork","3","S","Teamwork",,"teamwork",
"80","invloed hebben","3","O","Einfluss haben",,"influence",
"81","ordelijkheid","3","C","Ordentlichkeit",,"orderliness",
"82","fysieke werkzaamheden","3","R","kÃ¶rperliche TÃ¤tigkeiten",,"physical activities",
"83","analyseren","3","I","analysieren",,"analyze",
"84","intuÃ¯tief werken","3","A","intuitiv arbeiten",,"intuitive work",
"85","respect","3","S","Respekt",,"respect",
"86","status verkrijgen","3","O","Status erwerben",,"obtain status",
"87","structuur","3","C","Struktur",,"organization",
"88","onderweg zijn / reizen","3","R","unterwegs sein / reisen",,"travel",
"89","geestelijke stimulans","3","I","geistige Stimulierung",,"mental stimulus",
"90","vrije gedachten","3","A","freie Gedanken",,"free thoughts",
"91","organiseren","3","S","organisieren",,"organize",
"92","macht","3","O","Macht",,"power",
"93","georganiseerd en planmatig werken","3","C","organisierte und systematische Arbeit",,"organized and systematic work",
"94","natuur en milieu","3","R","Natur und Umwelt",,"nature and environment",
"95","specialisatie","3","I","Spezialisierung",,"specialization",
"96","originaliteit","3","A","OriginalitÃ¤t",,"originality",
"97","mensenrechten","3","S","Menschenrechte",,"human rights",
"98","risico","3","O","Risiko",,"risk",
"99","doelmatigheid","3","C","ZweckmÃ¤ÃŸigkeit",,"expediency",
"100","mechanische apparatuur bedienen","3","R","mechanische Apparate bedienen",,"operate mechanical equipment",
"101","kennis opdoen","3","I","Wissen erwerben",,"gaining knowledge",
"102","exposeren","3","A","ausstellen",,"exposing",
"103","hulpverlenen","3","S","pflegen",,"caretaking",
"104","verantwoordelijkheid","3","O","Verantwortung",,"responsibility",
"105","conform","3","C","konform",,"conformity",
"106","technische werkzaamheden","3","R","technische TÃ¤tigkeiten",,"technical work",
"107","gecompliceerde problemen oplossen","3","I","komplizierte Probleme lÃ¶sen",,"solving complicated problems",
"108","inspiratie","3","A","Inspiratio",,"inspiration",
"109","advies geven","3","S","RatschlÃ¤ge geben",,"giving advice",
"110","prestatiegericht","3","O","leistungsorientiert",,"performance oriented",
"111","precisie","3","C","PrÃ¤zision",,"precision",
"112","concrete werkzaamheden","3","R","konkrete TÃ¤tigkeiten",,"concrete work",
"113","verschijnselen doorgronden","3","I","PhÃ¤nomene ergrÃ¼nden",,"research phenomena",
"114","zelfverwezenlijking","3","A","Selbstverwirklichung",,"self-realization",
"115","overleggen","3","S","sich mit jmdn. beratschlagen",,"consult",
"116","ondernemerschap","3","O","Unternehmertum",,"entrepreneurship",
"117","efficiÃ«nt werken","3","C","effizient arbeiten",,"work efficiently",
"118","grensverleggend werk","3","R","bahnbrechende Arbeit",,"innovative work",
"119","intellectuele ontwikkeling","3","I","intellektuelle Entwicklung",,"intellectual development",
"120","afwisseling","3","A","Abwechslung",,"variety",
"121","communicatie met anderen","3","S","Kommunikation mit anderen",,"communication with others",
"122","presteren","3","O","leisten",,"perform well",
"123","duidelijke afspraken","3","C","deutliche Absprachen",,"clear agreements",
"124","een deur schilderen","4","R","eine TÃ¼r streichen",,"painting a door",
"125","een website programmeren","4","I","eine Website entwickeln",,"develop a website",
"126","een column schrijven","4","A","eine Kolumne schreiben",,"writing a column",
"127","op een kinderdagverblijf werken","4","S","in einer Kita arbeiten",,"working at a daycare",
"128","een scooter van een familielid verkopen","4","O","einen Motorroller eines Verwandten verkaufen",,"selling a scooter of a relative",
"129","gunstigste spaarrente uitzoeken","4","C","den gÃ¼nstigsten Kredit finden",,"finding the most advantageous savings interest rates",
"130","een waardetransport begeleiden","4","R","einen Werttransport begleiten",,"escort a value/high risk transportation",
"131","strategie van een organisatie analyseren","4","I","die Strategie einer Organisation analysieren",,"analyze the strategy of an organization",
"132","modeartikelen tekenen","4","A","Modeprodukte entwerfen",,"designing fashion products",
"133","ouderen begeleiden","4","S","Senioren begleiten",,"accompany elderly",
"134","gespreksleider zijn bij een bijeenkomst","4","O","GesprÃ¤chleiter bei einer Versammlung sein",,"being a discussion leader at a meeting",
"135","een to-do list maken","4","C","eine To-Do Liste erstellen",,"make a to-do list",
"136","een badkamer installeren","4","R","ein Badezimmer anschlieÃŸen",,"installing a bathroom",
"137","alternatieve energiebronnen bestuderen","4","I","alternative Energieformen erforschen",,"researching alternative energy",
"138","een musicalscript schrijven","4","A","ein MusikstÃ¼ck schreiben",,"writing a musical script",
"139","gehandicapte kinderen begeleiden","4","S","Kinder mit einer Behinderung begleiten",,"accompany disabled children",
"140","directeur zijn van een internationale organisatie","4","O","GeschÃ¤ftsfÃ¼hrer einer internationalen Organisation sein",,"being CEO of an international organization",
"141","administratiesysteem automatiseren","4","C","eine Administration automatisieren",,"automating administration systems",
"142","met een tractor het land bewerken","4","R","Grund mit einem Traktor bestellen",,"cultivating with a tractor the land",
"143","de melkweg bestuderen","4","I","die MilchstraÃŸe erforschen",,"studying the galaxy",
"144","in een orkest spelen","4","A","in einem Orchester spielen",,"playing in an orchestra",
"145","vrijwilligerswerk doen","4","S","ehrenamtliche TÃ¤tigkeiten",,"volunteer work",
"146","een conferentie organiseren","4","O","eine Konferenz organisieren",,"organizing a confention",
"147","een contract opstellen","4","C","einen Vertrag aufstellen",,"draft a contract",
"148","kasten in elkaar zetten","4","R","SchrÃ¤nke zusammenbauen",,"assemble cabinets",
"149","alternatieve vervoersmiddelen bedenken","4","I","alternative Transportmittel erfinden",,"devise alternative of transport",
"150","een website ontwerpen","4","A","eine Website entwerfen",,"developing an app",
"151","slachtofferhulp verlenen","4","S","Opferhilfe leisten",,"grant victim assistance ",
"152","een eigen bedrijf starten","4","O","ein eigenes Unternehmen beginnen",,"starting a company",
"153","een magazijn inrichten","4","C","ein Lager einrichten",,"furnishing a warehouse",
"154","afval scheiden","4","R","Abfall trennen",,"separate waste",
"155","met de computer een scenario berekenen","4","I","mit dem Computer ein Szenario berrechnen",,"calculating a scenario with a computer",
"156","als fotograaf een trouwfoto maken ","4","A","als Fotograf Hochzeitsfotos machen",,"shooting wedding pictures",
"157","bemiddelaar bij een geschil","4","S","Mediator bei einem Streit",,"mediator in a dispute",
"158","luxe artikelen importeren","4","O","Luxusprodukte importieren",,"importing luxury products",
"159","huis opruimen en schoonmaken","4","C","eine Wohnung aufrÃ¤umen und saubermachen",,"cleaning a home",
"160","toezicht houden in een natuurgebied","4","R","in einem Naturgebiet Aufsicht fÃ¼hren",,"supervision in a nature",
"161","onderzoeken welke uitwerking medicijnen hebben","4","I","untersuchen welche Auswirkungen Medikamente haben",,"investigate what effect drugs have",
"162","een reclame bedenken","4","A","eine Werbung/Reklame entwerfen",,"creating a commercial",
"163","collecteren voor een goed doel","4","S","Spenden sammeln",,"collecting for charity",
"164","huizen verhuren","4","O","Wohnungen vermieten",,"rent real estate",
"165","checklist maken voor een dossier","4","C","eine Checkliste fÃ¼r ein Dossier erstellen",,"making a checklist for a file",
"166","bodemonderzoek verrichten","4","R","eine Bodenuntersuchung ausfÃ¼hren",,"perform soil analysis",
"167","laboratorische onderzoeken doen","4","I","Laboruntersuchungen ausfÃ¼hren",,"perform laboratory biology studies",
"168","boekenkaft vormgeven","4","A","einen Buchumschlag entwerfen",,"designing book covers",
"169","vluchtelingen helpen","4","S","FlÃ¼chtlingen helfen",,"helping refugees",
"170","product pitches schrijven","4","O","einen Produktpitch schreiben",,"writing a product pitch",
"171","planningen maken","4","C","PlÃ¤ne machen",,"making a planning",
"172","pakketjes bezorgen","4","R","Pakete zustellen",,"deliver packages",
"173","de melkweg in kaart brengen","4","I","die Galaxie kartographieren",,"mapping the galaxy",
"174","stillevens schilderen","4","A","Stilleben malen",,"painting a still life",
"175","maatschappelijk werk doen","4","S","Sozialarbeit",,"social work",
"176","beursderivaten kopen en verkopen","4","O","Derivate verkaufen und kaufen",,"selling and buying derivatives",
"177","hypotheek van een huis berekenen","4","C","Hypothek errechnen",,"calculate a mortgage",
"178","Tuinschutting maken","4","R","Gartenzaun bauen",,"build a fence",
"179","beroepskeuzetest maken","4","I","Karrieretest ausfÃ¼llen",,"doing a career test ",
"180","Gallerie inrichten","4","A","Gallerie einrichten",,"furnishing a gallery",
"181","activiteiten organiseren voor ouderen","4","S","AktivitÃ¤ten fÃ¼r Rentner organisieren",,"organize activities for the elderly",
"182","contracten uitonderhandelen","4","O","VertrÃ¤ge aushandeln",,"negotiating about contracts",
"183","stamboom uitzoeken","4","C","Stammbaum erstellen",,"sorting a family tree",
"184","werkt graag met zijn/haar handen","5","R","mit den HÃ¤nden arbeiten",,"likes to work with his / her hands",
"185","heeft analytisch vermogen","5","I","hat analytisches Kompetenzen",,"has analytical skills",
"186","heeft een rijke fantasie","5","A","hat eine reiche Fantasie",,"has a rich imagination",
"187","is behulpzaam","5","S","ist hilfsbereit",,"is helpful",
"188","is invloedrijk","5","O","ist einflussreich",,"has influence",
"189","werkt volgens een bepaalde structuur","5","C","arbeitet entsprechend einer bestimmten Struktur",,"operates according to a certain structure",
"190","werkt zelfstandig","5","R","arbeitet selbststÃ¤ndig",,"works independently",
"191","is onderzoekend van aard","5","I","ist untersuchend",,"is investigative in nature",
"192","is creatief","5","A","ist kreativ",,"is creative",
"193","houdt rekening met anderen","5","S","nimmt RÃ¼cksicht auf andere",,"takes into account with others",
"194","is overtuigend in zijn/haar doen","5","O","ist Ã¼berzeugend ",,"comes across confident",
"195","houdt van duidelijke afspraken","5","C","mag eindeutige Vereinbarungen",,"keeps clear agreements",
"196","werkt graag in de buitenlucht","5","R","arbeitet gerne drauÃŸen",,"likes to work in the open air",
"197","overdenkt zaken zorgvuldig","5","I","denkt grÃ¼ndlich Ã¼ber Dinge nach",,"thinks carefully about matters",
"198","is innovatief","5","A","ist innovativ",,"is innovative",
"199","is flexibel","5","S","ist flexibel",,"is flexibel",
"200","is doelgericht","5","O","ist zielgerichtet",,"is targeted",
"201","werkt zorgvuldig en nauwkeurig","5","C","arbeitet sorgfÃ¤ltig und genau",,"works carefully and accurately",
"202","werkt graag met machines","5","R","arbeitet gerne mit Maschinen",,"likes working with machines",
"203","verdiept zich graag in wetenschappelijke kwesties","5","I","vertieft sich gerne in wissenschaftliche Fragen",,"loves getting deeply into scientific issues",
"204","is origineel","5","A","ist originell",,"is original",
"205","werkt graag in teamverband","5","S","arbeitet gerne in Teams",,"loves to work in a team",
"206","neemt graag de leiding op zich","5","O","nimmt gerne die Leitung an sich",,"is happy to take the lead ",
"207","komt beloftes altijd na","5","C","erfÃ¼llt Versprechen immer",,"honors promises",
"208","werkt graag in de natuur","5","R","arbeitet gerne in der Natur",,"loves to work in the nature",
"209","is rationeel van aard","5","I","ist rationaler Natur",,"is rational in his / her nature",
"210","heeft oog voor design","5","A","hat GefÃ¼hl fÃ¼r Design",,"has an eye for design",
"211","maakt het anderen graag naar de zin","5","S","sorgt gerne dafÃ¼r dass andere zufrieden sind",,"loves to make others happy",
"212","is initiatiefnemer","5","O","ist Initiator",,"is the initiator",
"213","komt zijn/haar afspraken na","5","C","erfÃ¼llt Vereinbarungen",,"honors his / her appointments",
"214","is handig","5","R","ist praktisch",,"is handy",
"215","is intellectueel ","5","I","ist intellektuell",,"is intellectual",
"216","valt graag op","5","A","fÃ¤llt gerne auf",,"likes to be striking",
"217","betrekt anderen er graag bij","5","S","involviert andere gerne",,"likes to involve others",
"218","gaat graag een uitdaging aan","5","O","nimmt gerne Herausforderungen an",,"likes to take a challenge",
"219","is altijd op tijd","5","C","ist immer pÃ¼nktlich",,"is always on time",
"220","is energiek","5","R","ist energisch",,"is energetic",
"221","is kritisch","5","I","ist kritisch",,"is critical",
"222","is tegendraads","5","A","ist trotzig",,"is perverse",
"223","verplaatst zich gemakkelijk in een ander","5","S","ist empathisch",,"empathizes easily with others",
"224","werkt resultaatgericht","5","O","arbeitet zielorientiert",,"is result oriented",
"225","Hecht waarde aan regelmaat en orde","5","C","findet RegelmaÃŸ und Ordnung wichtig",,"is committed to regularity and order",
"226","is meer een doener dan een denker","5","R","ist eher ein Macher als ein Denker",,"is more of a doer than a thinker",
"227","analyseert complexe vraagstukken","5","I","analysiert komplexe Fragen",,"analyzes complex issues",
"228","doet dingen vaak anders dan anderen","5","A","macht Dingen oft anders als andere",,"often does things differently than others",
"229","vindt het belangrijk om iets voor anderen te betekenen","5","S","findet es wichtig um etwas fÃ¼r andere zu tun",,"considers it important to do something for others",
"230","is ambitieus en assertief","5","O","ist ehrgeizig und assertiv",,"is ambitious and assertive",
"231","is orderlijk in zijn/haar doen en laten","5","C","ist ordentlich",,"is orderly in his / her doings",
"232","is zeer praktisch ingesteld","5","R","ist sehr praktisch ",,"is very practical set",
"233","onderzoekt oplossingen grondig","5","I","untersucht LÃ¶sungen grÃ¼ndlich",,"thoroughly examines solutions",
"234","is een dromer","5","A","ist ein TrÃ¤umer",,"is a dreamer",
"235","voelt aan waar anderen behoefte aan hebben","5","S","erkennt was andere Menschen brauchen",,"feels what other people need",
"236","organiseert bijeenkomsten","5","O","organisiert Versammlungen",,"organizes meetings",
"237","hecht waarde aan regelmaat","5","C","findet RegelmaÃŸ wichtig",,"is committed to regular",
"238","houdt van klussen","5","R","heimwerkert gerne",,"loves jobs ",
"239","is nieuwsgierig van aard","5","I","ist neugierig",,"is curious by nature",
"240","wijkt af van de standaard","5","A","weicht ab vom Standard",,"deviates from the standard",
"241","vrolijkt graag anderen op","5","S","muntert gerne andere auf",,"likes to cheer others",
"242","is ondernemend","5","O","ist unternehmend",,"is enterprising",
"243","werkt volgens de regels","5","C","arbeitet laut Regeln",,"operates according to the rules",
"244","Restaurateur","6","R","Restaurator",,"Restorer",
"245","Criminoloog","6","I","Kriminoloog",,"Criminologist",
"246","Website designer","6","A","Website Designer",,"Website designer",
"247","Loopbaanadviseur","6","S",,,"Career counselor",NULL
"248","Leidinggevende reclamebureau","6","O","Manager einer Werbeagentur",,"Manager of a publicity agency",
"249","Kok","6","C","Koch / KÃ¶chin",,"Cook",
"250","Timmerman","6","R","Zimmermann ",,"Carpenter",
"251","Astronoom","6","I","Astronom",,"Astronomer",
"252","Dichter","6","A","Dichter",,"Poet",
"253","Verpleegkundige","6","S","Krankenpfleger",,"Nurse",
"254","Interim-manager","6","O","Interim Manager",,"Interim manager",
"255","Analist","6","C","Analyst",,"Analyst",
"256","Autotechnicus","6","R","Automechaniker",,"Automotive technician",
"257","Bioloog","6","I","Biologe",,"Biologist",
"258","Verslaggever","6","A","Reporter",,"Reporter",
"259","Leidster kinderopvang","6","S","Leiter einer KindertagesstÃ¤tte",,"Manager of a daycare",
"260","Personal trainer","6","O","Personal Trainer",,"Personal trainer",
"261","Planner","6","C","Planer",,"Planner",
"262","Akkerbouwer","6","R","Ackerbauer",,"Cropper",
"263","Geoloog","6","I","Geologe",,"Geologist",
"264","Model","6","A","Model",,"Model",
"265","Consultant","6","S","Consultant",,"Consultant",
"266","Zelfstandig ondernemer","6","O","SelbstÃ¤ndiger Unternehmer",,"Entrepreneur",
"267","Controller","6","C","Controller",,"Controller",
"268","Meubelmaker","6","R","Zimmermann",,"Joiner / cabinet-maker",
"269","Psycholoog","6","I","Psychologe",,"Psychologist",
"270","Acteur / Actrice","6","A","Schauspieler",,"Actor / Actress",
"271","Docent","6","S","Dozent ",,"Teacher",
"272","Algemeen directeur","6","O","PrÃ¤sident eines Unternehmens",,"Chief executive officer",
"273","Veilingmeester","6","C","Auktionator",,"Auctioneer",
"274","Machinist","6","R","Maschinist",,"Machinist",
"275","Docent algemene natuurwetenschappen","6","I","Naturwissenschaftslehrer",,"Teacher natural sciences",
"276","Componist","6","A","Komponist",,"Composer",
"277","Dierenarts","6","S","Tierarzt",,"Veterinarian",
"278","Leidinggevende","6","O","Manager",,"Managerial",
"279","Luchtverkeersleider","6","C","Fluglotse",,"Air traffic controller",
"280","Luchtmachtpiloot","6","R","Luftwaffenpilot",,"Air force pilot",
"281","Metereoloog","6","I","Metereologe",,"Meteorologist",
"282","Decorontwerper","6","A","BÃ¼hnenbildner",,"Set designer",
"283","Kraamverzorger","6","S","Wochenpfleger",,"Maternity nurse",
"284","Eigenaar onderzoeksbureau","6","O","Eigner einer Forschungsanstalt",,"Owner research agency",
"285","Werkvoorbereider","6","C","Vorarbeiter",,"Planner",
"286","Autospuiter","6","R","Autolackierer",,"Auto sprayer",
"287","Orthodontist","6","I","KieferorthopÃ¤de",,"Orthodontist",
"288","Creatief marketeer","6","A","Kreativer in der Werbung",,"Creative marketer",
"289","Secretaresse","6","S","SekretÃ¤r",,"Secretary",
"290","Importeur","6","O","Importeur",,"Importer",
"291","Hoofd klantenservice","6","C","Leiter Kundenservice",,"Account Manager client service",
"292","Uitvoerder","6","R","Bauleiter",,"Executor",
"293","Socioloog","6","I","Soziolog",,"Sociologist",
"294","Choreograaf","6","A","Choreograph",,"Choreographer",
"295","Museumgids","6","S","MuseumsfÃ¼hrer",,"Museum Guide",
"296","Handelaar","6","O","HÃ¤ndler",,"Trader",
"297","Programmeur","6","C","Programmierer",,"Programmer",
"298","Vloerenlegger","6","R","Estrichleger",,"Floor Fitter",
"299","Raketgeleerde","6","I","Raketenwissenschaftler",,"Rocket scientist",
"300","Binnenhuisarchitect","6","A","Innenarchitekt",,"Interior architect",
"301","Schoonheidsspecialiste","6","S","SchÃ¶nheitsspezialist",,"Beautician",
"302","Hoofd productontwikkeling","6","O","Leiter Produktentwicklung",,"Head of product development",
"303","Constructeur","6","C","Konstrukteur",,"Design engineer",
